DEPTH,GR,NPHI,RHOB,RT,vcl,phie,phit
3825.5,65.48,0.3,2.31,3.41,0.59,0.16,0.24
3826.0,66.11,0.3,2.3,3.42,0.61,0.17,0.24
3826.5,67.25,0.31,2.29,3.46,0.63,0.18,0.25
3827.0,68.73,0.32,2.26,3.51,0.65,0.2,0.26
3827.5,70.04,0.33,2.25,3.58,0.66,0.2,0.27
3828.0,71.15,0.34,2.25,3.59,0.68,0.19,0.28
3828.5,71.87,0.35,2.25,3.51,0.69,0.2,0.28
3829.0,71.38,0.35,2.26,3.38,0.68,0.18,0.27
3829.5,69.44,0.35,2.27,3.22,0.65,0.17,0.27
3830.0,66.94,0.34,2.26,3.07,0.61,0.19,0.27
3830.5,63.15,0.33,2.25,2.94,0.56,0.2,0.27
3831.0,59.22,0.33,2.24,2.85,0.5,0.21,0.28
3831.5,54.24,0.32,2.23,2.76,0.44,0.23,0.28
3832.0,49.34,0.31,2.21,2.66,0.38,0.25,0.28
3832.5,44.58,0.31,2.21,2.57,0.31,0.25,0.28
3833.0,40.22,0.31,2.2,2.48,0.25,0.26,0.28
3833.5,35.33,0.3,2.2,2.42,0.2,0.26,0.28
3834.0,31.8,0.3,2.21,2.35,0.14,0.25,0.28
3834.5,28.53,0.29,2.21,2.31,0.1,0.26,0.27
3835.0,27.33,0.28,2.21,2.27,0.09,0.26,0.27
3835.5,26.91,0.27,2.2,2.25,0.09,0.27,0.27
3836.0,26.33,0.28,2.19,2.23,0.08,0.28,0.28
3836.5,25.64,0.28,2.18,2.22,0.07,0.29,0.28
3837.0,25.2,0.29,2.17,2.21,0.06,0.29,0.29
3837.5,24.53,0.29,2.16,2.2,0.06,0.3,0.3
3838.0,24.19,0.29,2.16,2.2,0.05,0.3,0.3
